ELEMENT 1,ELEMENT 2,ORDER
Sc,Li,0
Sc,Be,1
Sc,Mg,1
Sc,Al,1
Sc,Sn,1
Sc,Pb,1
Sc,Ti,0
Sc,Cr,0
Sc,Mn,1
Sc,Fe,1
Sc,Co,1
Sc,Ni,1
Sc,Cu,1
Sc,Zn,1
Sc,Y,0
Sc,Zr,0
Sc,Nb,0
Sc,Rh,0
Sc,Pd,1
Sc,Ag,1
Sc,Cd,1
Sc,Hf,0
Zr,Li,0
Zr,Be,1
Zr,Mg,0
Zr,Al,1
Zr,In,0
Zr,Sn,1
Zr,Pb,1
Zr,Sc,0
Zr,Ti,0
Zr,V,1
Zr,Cr,1
Zr,Mn,1
Zr,Fe,1
Zr,Co,1
Zr,Ni,1
Zr,Cu,1
Zr,Zn,1
Zr,Nb,0
Zr,Mo,1
Zr,Ru,1
Zr,Rh,1
Zr,Pd,1
Zr,Ag,1
Zr,Hf,0
Zr,Ta,0
Zr,W,1
Zr,Re,1
Zr,Ir,1
Zr,Pt,1
Zr,Au,1
Cu,Li,1
Cu,Be,1
Cu,Mg,1
Cu,Al,1
Cu,In,1
Cu,Sn,1
Cu,Pb,0
Cu,Sc,1
Cu,Ti,1
Cu,V,0
Cu,Cr,0
Cu,Mn,0
Cu,Fe,0
Cu,Co,1
Cu,Ni,0
Cu,Zn,0
Cu,Y,1
Cu,Zr,1
Cu,Nb,0
Cu,Mo,0
Cu,Ru,0
Cu,Pd,1
Cu,Ag,0
Cu,Cd,1
Cu,Hf,1
Cu,Ta,0
Cu,W,0
Cu,Ir,0
Cu,Pt,1
Cu,Au,0
Cu,Hg,1
Y,Li,0
Y,Mg,1
Y,Al,1
Y,Sn,1
Y,Sc,0
Y,Ti,0
Y,V,0
Y,Cr,0
Y,Mn,1
Y,Fe,1
Y,Co,1
Y,Ni,1
Y,Cu,1
Y,Zn,1
Y,Zr,0
Y,Nb,0
Y,Mo,0
Y,Ru,1
Y,Pd,1
Y,Ag,1
Y,Ir,0
Y,Pt,1
Ni,Mg,1
Ni,Al,1
Ni,Sn,1
Ni,Pb,0
Ni,Sc,1
Ni,Ti,1
Ni,V,1
Ni,Cr,1
Ni,Mn,1
Ni,Fe,0
Ni,Co,0
Ni,Cu,0
Ni,Zn,1
Ni,Y,1
Ni,Zr,1
Ni,Nb,1
Ni,Mo,1
Ni,Ru,0
Ni,Rh,0
Ni,Pd,0
Ni,Ag,0
Ni,Cd,1
Ni,Hf,1
Ni,Ta,1
Ni,W,1
Ni,Re,0
Ni,Os,0
Ni,Pt,1
Ni,Au,0
Nb,Li,1
Nb,Be,1
Nb,Al,1
Nb,In,1
Nb,Sn,0
Nb,Ti,0
Nb,V,1
Nb,Cr,1
Nb,Mn,1
Nb,Fe,1
Nb,Co,0
Nb,Cu,0
Nb,Y,0
Nb,Zr,0
Nb,Mo,1
Nb,Rh,0
Nb,Ag,0
Nb,Ta,0
Nb,W,0
Nb,Os,1
Nb,Pt,1
Nb,Au,1
Ti,Be,1
Ti,Mg,0
Ti,Al,1
Ti,Sn,1
Ti,Pb,1
Ti,Sc,0
Ti,V,0
Ti,Cr,1
Ti,Mn,1
Ti,Fe,1
Ti,Co,1
Ti,Ni,1
Ti,Cu,1
Ti,Zn,1
Ti,Y,0
Ti,Zr,0
Ti,Nb,0
Ti,Mo,0
Ti,Ru,1
Ti,Rh,1
Ti,Pd,1
Ti,Ag,1
Ti,Hf,0
Ti,Ta,0
Ti,W,0
Ti,Re,1
Ti,Os,1
Ti,Ir,1
Ti,Pt,1
Ti,Au,1
Mo,Li,1
Mo,Be,1
Mo,Al,1
Mo,Ti,0
Mo,V,0
Mo,Cr,0
Mo,Mn,0
Mo,Fe,1
Mo,Co,1
Mo,Ni,1
Mo,Cu,0
Mo,Y,0
Mo,Zr,1
Mo,Nb,0
Mo,Ru,1
Mo,Rh,1
Mo,Pd,0
Mo,Ag,0
Mo,Hf,1
Mo,W,0
Mo,Re,1
Mo,Os,1
Mo,Pt,1
Mo,Au,0
Rh,Al,1
Rh,Ti,1
Rh,Mn,1
Rh,Fe,1
Rh,Ni,0
Rh,Cu,0
Rh,Nb,1
Rh,Mo,1
Rh,Tc,0
Rh,Pd,0
Rh,Ag,0
Rh,Hf,1
Rh,Ta,1
Rh,W,0
Rh,Re,0
Rh,Ir,0
Rh,Pt,1
Rh,Au,0
Pd,Li,1
Pd,Be,1
Pd,Mg,1
Pd,Al,1
Pd,In,1
Pd,Sn,1
Pd,Pb,1
Pd,Sc,1
Pd,Ti,1
Pd,V,1
Pd,Cr,1
Pd,Mn,1
Pd,Fe,1
Pd,Co,0
Pd,Ni,0
Pd,Cu,0
Pd,Zn,0
Pd,Y,1
Pd,Zr,1
Pd,Nb,0
Pd,Mo,0
Pd,Ru,0
Pd,Rh,0
Pd,Ag,0
Pd,Hf,1
Pd,Ta,1
Pd,W,1
Pd,Re,1
Pd,Os,0
Pd,Ir,0
Pd,Pt,0
Pd,Au,1
Fe,Mg,1
Fe,Al,0
Fe,Sn,1
Fe,Pb,0
Fe,Sc,1
Fe,Ti,1
Fe,V,0
Fe,Cr,0
Fe,Mn,0
Fe,Co,0
Fe,Ni,0
Fe,Cu,0
Fe,Zn,1
Fe,Y,1
Fe,Zr,1
Fe,Nb,1
Fe,Mo,1
Fe,Tc,0
Fe,Ru,0
Fe,Rh,0
Fe,Pd,1
Fe,Ag,0
Fe,Hf,1
Fe,Ta,1
Fe,W,1
Fe,Ir,0
Fe,Pt,1
Fe,Au,0
V,Mg,1
V,Cr,0
V,Mn,0
V,Co,1
V,Zn,1
V,Y,1
V,Zr,1
V,Nb,0
V,Mo,0
V,Ru,0
V,Rh,1
V,Pd,1
V,Hf,1
V,Ta,1
V,W,0
V,Re,1
V,Os,1
V,Ir,1
V,Pt,1
V,Au,1
Ag,Li,1
Ag,Be,1
Ag,Mg,1
Ag,Al,1
Ag,In,1
Ag,Sn,1
Ag,Pb,0
Ag,Sc,1
Ag,Ti,0
Ag,Cr,0
Ag,Fe,0
Ag,Co,0
Ag,Ni,0
Ag,Cu,0
Ag,Zn,1
Ag,Y,1
Ag,Zr,0
Ag,Nb,0
Ag,Mo,0
Ag,Ru,1
Ag,Rh,0
Ag,Pd,0
Ag,Cd,0
Ag,Hf,0
Ag,Ta,0
Ag,W,0
Ag,Ir,0
Ag,Pt,1
Ag,Au,0
Ag,Hg,0
Cr,Be,1
Cr,Mg,0
Cr,Al,1
Cr,Sn,1
Cr,Sc,0
Cr,Ti,1
Cr,V,0
Cr,Mn,1
Cr,Fe,0
Cr,Co,0
Cr,Ni,1
Cr,Cu,0
Cr,Zn,1
Cr,Y,0
Cr,Zr,1
Cr,Nb,1
Cr,Mo,0
Cr,Ru,1
Cr,Rh,1
Cr,Pd,1
Cr,Hf,1
Cr,Ta,1
Cr,W,1
Cr,Re,1
Cr,Os,1
Cr,Ir,1
Cr,Pt,1
Cr,Au,0
Cd,Mg,0
Cd,Al,0
Cd,In,1
Cd,Sn,0
Cd,Pb,0
Cd,Ti,1
Cd,Mn,0
Cd,Fe,0
Cd,Ni,1
Cd,Cu,1
Cd,Zn,0
Cd,Y,1
Cd,Ag,1
Cd,Au,1
Cd,Hg,0
Mn,Mg,0
Mn,Al,1
Mn,Sn,1
Mn,Pb,0
Mn,Co,0
Mn,Zn,1
Mn,Y,1
Mn,Zr,1
Mn,Nb,0
Mn,Mo,1
Mn,Rh,1
Mn,Pd,1
Mn,Ag,1
Mn,Hf,1
Mn,Ta,1
Mn,Pt,1
Mn,Au,1
Co,Be,1
Co,Mg,1
Co,Al,1
Co,Sn,1
Co,Zn,1
Co,Y,1
Co,Zr,1
Co,Nb,1
Co,Mo,1
Co,Pd,0
Co,Ag,0
Co,Hf,1
Co,Ta,1
Co,W,1
Co,Re,0
Co,Os,0
Co,Pt,1
Co,Au,0
Hf,Be,1
Hf,Al,1
Hf,Sn,1
Hf,Ti,0
Hf,V,0
Hf,Cr,0
Hf,Mn,1
Hf,Fe,1
Hf,Co,1
Hf,Ni,1
Hf,Cu,1
Hf,Zr,0
Hf,Nb,1
Hf,Mo,1
Hf,Ru,1
Hf,Rh,1
Hf,Pd,1
Hf,Ag,0
Hf,Ta,1
Hf,W,1
Hf,Re,1
Hf,Os,1
Hf,Ir,1
Hf,Pt,1
Hf,Au,1
Al,Li,1
Al,Be,0
Al,Mg,1
Al,In,0
Al,Sn,0
Al,Pb,0
Al,Y,1
Al,Zr,1
Al,Nb,1
Al,Mo,1
Al,Ru,0
Al,Pd,1
Al,Ag,0
Al,Cd,0
Al,Hf,1
Al,Ta,1
Al,W,1
Ta,Al,1
Ta,Sn,1
Ta,Ti,1
Ta,V,0
Ta,Cr,1
Ta,Mn,0
Ta,Fe,0
Ta,Co,1
Ta,Ni,0
Ta,Cu,0
Ta,Zr,0
Ta,Nb,0
Ta,Mo,0
Hg,Li,1
Hg,Al,0
Hg,Mg,1
Hg,In,1
Hg,Sn,0
Hg,Pb,1
Au,Li,1
Au,Be,1
Au,Al,1
Au,Mg,1
Au,In,1
Au,Sn,1
Au,Pb,1
Au,Pd,1
Au,Ag,0
Au,Cd,1
Li,Al,1
Li,Mg,0
Li,Sn,1
Li,Pb,0
Li,Pd,1
Li,Ag,0
Li,Cd,1
Li,Hf,1
Be,Al,0
Be,Zr,1
Be,Nb,1
Be,Pd,1
Be,Ag,1
Be,W,1
Tc,Fe,1
Tc,Ni,0
Tc,Zr,1
Tc,Re,0
Ru,Al,1
Ru,Sn,1
Ru,Sc,1
Ru,Ti,1
Ru,Cr,1
Ru,Co,1
Ru,Ni,0
Ru,Y,1
Ru,Zr,1
Ru,Nb,1
Ru,Mo,1
Ru,Pd,0
Ru,Ag,1
Ru,Hf,1
Ru,Ta,1
Ru,Re,0
Ru,Os,0
Ru,Pt,0
Ru,Au,0